"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-04-01","0.00","0.0","0.0","39","42","26"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-04-02","0.00","0.0","0.0","32","45","20"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-04-03","0.00","0.0","0.0","33","48","20"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-04-04","0.00","0.0","0.0","39","56","24"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-04-05","0.00","0.0","0.0","44","55","32"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-04-06","0.00","0.0","0.0","45","63","33"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-04-07","0.00","0.0","0.0","59","68","44"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-04-08","0.03","0.0","0.0","54","74","41"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-04-09","0.00","0.0","0.0","62","81","47"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-04-10","1.00","0.0","0.0","59","66","45"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-04-11","0.67","0.0","0.0","44","45","40"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-04-12","0.08","0.0","0.0","40","43","38"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-04-13","0.03","0.0","0.0","39","43","34"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-04-14","0.00","0.0","0.0","45","63","37"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-04-15","0.00","0.0","0.0","56","66","47"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-04-16","0.47","0.0","0.0","53","60","46"
