"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-11-10","60","65","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-11-11","59","64","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-11-12","56","63","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-11-13","60","67","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-11-14","59","64","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-11-15","57","65","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-11-16","59","63","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-11-17","56","61","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-11-18","54","62","43"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-11-19","53","59","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-11-20","58","63","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-11-21","60","66","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-11-22","60","68","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-11-23","62","67","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-11-24","62","69","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-11-25","61","68","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-11-26","64","67","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-11-27","57","60","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-11-28","53","60","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-11-29","55","64","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-11-30","55","65","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-12-01","54","60","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-12-02","53","58","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-12-03","55","57","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-12-04","55","62","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-12-05","57","66","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-12-06","53","62","42"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-12-07","55","65","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-12-08","53","62","43"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-12-09","53","63","43"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-12-10","53","63","42"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-12-11","54","65","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-12-12","53","60","42"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-12-13","51","61","41"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-12-14","52","64","43"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-12-15","53","57","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-12-16","56","64","49"
